Description,Category,Finance Type
Debited ₹2004.66 at Myntra,Shopping,Spend
Paid ₹4048.49 to Gas Agency,Utilities,Spend
Debited ₹9539.51 at Landlord,Rent,Spend
Credited ₹6598.74 from KFC,Restaurants,Receive
Paid ₹7674.46 to Flipkart,Shopping,Spend
₹2953.92 received via UPI from TCS,Paycheck,Receive
Received ₹9703.3 from Electric Board,Utilities,Receive
Debited ₹3270.13 at Flipkart,Shopping,Spend
Credited ₹7949.17 from Society,Rent,Receive
Paid ₹3853.22 to Myntra,Shopping,Spend
Paid ₹4212.57 to Swiggy,Restaurants,Spend
Received ₹3461.96 from Infosys,Paycheck,Receive
Credited ₹2833.54 from Domino's,Restaurants,Receive
₹1878.29 received via UPI from TCS,Paycheck,Receive
Received ₹7931.26 from Flipkart,Shopping,Receive
Paid ₹9250.39 to Gas Agency,Utilities,Spend
UPI payment of ₹1375.14 to Domino's,Restaurants,Spend
UPI payment of ₹9597.72 to Swiggy,Restaurants,Spend
Paid ₹3491.61 to Domino's,Restaurants,Spend
UPI payment of ₹2401.44 to TCS,Paycheck,Spend
Received ₹1077.39 from Swiggy,Restaurants,Receive
UPI payment of ₹9920.94 to Infosys,Paycheck,Spend
Debited ₹4101.28 at Domino's,Restaurants,Spend
₹1082.34 received via UPI from Water Dept,Utilities,Receive
Received ₹4818.21 from Wipro,Paycheck,Receive
Received ₹7015.46 from Landlord,Rent,Receive
Debited ₹9878.86 at Flipkart,Shopping,Spend
UPI payment of ₹3648.4 to Flipkart,Shopping,Spend
₹2807.69 received via UPI from Flatmate,Rent,Receive
Received ₹1547.01 from KFC,Restaurants,Receive
Received ₹9610.73 from KFC,Restaurants,Receive
₹6107.76 received via UPI from Flipkart,Shopping,Receive
Credited ₹7041.5 from Wipro,Paycheck,Receive
UPI payment of ₹8280.82 to Swiggy,Restaurants,Spend
Debited ₹1498.97 at Wipro,Paycheck,Spend
UPI payment of ₹4306.03 to Domino's,Restaurants,Spend
₹1074.74 received via UPI from Domino's,Restaurants,Receive
Received ₹3637.03 from Wipro,Paycheck,Receive
Paid ₹2432.68 to Gas Agency,Utilities,Spend
Debited ₹1532.23 at Water Dept,Utilities,Spend
Received ₹2918.5 from KFC,Restaurants,Receive
Received ₹7829.97 from Gas Agency,Utilities,Receive
Paid ₹8236.97 to Swiggy,Restaurants,Spend
Paid ₹8929.47 to Infosys,Paycheck,Spend
UPI payment of ₹5609.51 to Flipkart,Shopping,Spend
UPI payment of ₹1867.32 to Gas Agency,Utilities,Spend
Credited ₹6421.03 from Wipro,Paycheck,Receive
Received ₹9003.4 from Amazon,Shopping,Receive
Credited ₹4124.62 from Swiggy,Restaurants,Receive
Received ₹9411.74 from Wipro,Paycheck,Receive
₹203.95 received via UPI from TCS,Paycheck,Receive
Debited ₹4271.19 at Gas Agency,Utilities,Spend
₹707.6 received via UPI from Flipkart,Shopping,Receive
Paid ₹1500.28 to Infosys,Paycheck,Spend
Received ₹6295.06 from KFC,Restaurants,Receive
UPI payment of ₹1918.45 to Water Dept,Utilities,Spend
Debited ₹5185.57 at Flatmate,Rent,Spend
Credited ₹3788.22 from Landlord,Rent,Receive
Received ₹4308.25 from Domino's,Restaurants,Receive
Debited ₹6591.62 at Water Dept,Utilities,Spend
Received ₹9397.91 from Myntra,Shopping,Receive
Debited ₹4060.38 at Swiggy,Restaurants,Spend
Paid ₹211.26 to Flatmate,Rent,Spend
Paid ₹5608.85 to Gas Agency,Utilities,Spend
₹3260.54 received via UPI from Water Dept,Utilities,Receive
UPI payment of ₹8546.55 to Landlord,Rent,Spend
₹5923.86 received via UPI from Flipkart,Shopping,Receive
Received ₹1928.84 from Domino's,Restaurants,Receive
Debited ₹3802.15 at KFC,Restaurants,Spend
Paid ₹4949.23 to TCS,Paycheck,Spend
Paid ₹9142.98 to Society,Rent,Spend
₹2992.86 received via UPI from Gas Agency,Utilities,Receive
Received ₹6148.81 from KFC,Restaurants,Receive
₹594.35 received via UPI from Landlord,Rent,Receive
Debited ₹7434.16 at Society,Rent,Spend
Debited ₹4701.08 at Flatmate,Rent,Spend
Paid ₹6510.48 to Wipro,Paycheck,Spend
Received ₹1317.36 from Gas Agency,Utilities,Receive
₹6238.52 received via UPI from KFC,Restaurants,Receive
Debited ₹5652.5 at Amazon,Shopping,Spend
Paid ₹8961.22 to Landlord,Rent,Spend
UPI payment of ₹492.04 to Wipro,Paycheck,Spend
Paid ₹7136.33 to Infosys,Paycheck,Spend
₹5412.16 received via UPI from Amazon,Shopping,Receive
Paid ₹2207.8 to Myntra,Shopping,Spend
Paid ₹1539.94 to Myntra,Shopping,Spend
Paid ₹672.08 to Water Dept,Utilities,Spend
Credited ₹1070.92 from Society,Rent,Receive
Credited ₹8805.93 from Flatmate,Rent,Receive
Credited ₹2040.25 from Society,Rent,Receive
Debited ₹1188.15 at Flatmate,Rent,Spend
UPI payment of ₹3594.08 to TCS,Paycheck,Spend
Debited ₹886.14 at Domino's,Restaurants,Spend
₹753.42 received via UPI from TCS,Paycheck,Receive
UPI payment of ₹9623.73 to Electric Board,Utilities,Spend
Credited ₹5833.16 from Infosys,Paycheck,Receive
Received ₹5025.55 from Swiggy,Restaurants,Receive
Credited ₹1359.79 from Infosys,Paycheck,Receive
Credited ₹7497.95 from Infosys,Paycheck,Receive
Received ₹6640.77 from Water Dept,Utilities,Receive
Debited ₹3564.63 at Amazon,Shopping,Spend
Credited ₹8836.94 from Amazon,Shopping,Receive
Paid ₹2058.9 to Domino's,Restaurants,Spend
Debited ₹9749.99 at KFC,Restaurants,Spend
Received ₹4971.35 from Amazon,Shopping,Receive
Received ₹6712.8 from Wipro,Paycheck,Receive
Received ₹2182.21 from Myntra,Shopping,Receive
Credited ₹6085.28 from Myntra,Shopping,Receive
Debited ₹8624.82 at Flatmate,Rent,Spend
Paid ₹1690.45 to TCS,Paycheck,Spend
₹1472.74 received via UPI from Society,Rent,Receive
Debited ₹3138.53 at KFC,Restaurants,Spend
Credited ₹6910.25 from Society,Rent,Receive
Paid ₹259.33 to Flatmate,Rent,Spend
Paid ₹5228.93 to Wipro,Paycheck,Spend
Paid ₹4138.07 to Society,Rent,Spend
₹4560.13 received via UPI from Amazon,Shopping,Receive
Debited ₹6650.51 at Water Dept,Utilities,Spend
Received ₹584.01 from Gas Agency,Utilities,Receive
Paid ₹751.65 to KFC,Restaurants,Spend
Received ₹5597.05 from Water Dept,Utilities,Receive
Received ₹4871.05 from Flipkart,Shopping,Receive
UPI payment of ₹2892.59 to Domino's,Restaurants,Spend
Credited ₹5634.84 from Gas Agency,Utilities,Receive
Debited ₹2746.8 at Electric Board,Utilities,Spend
Debited ₹7708.21 at Water Dept,Utilities,Spend
Debited ₹552.22 at Infosys,Paycheck,Spend
Credited ₹6824.95 from Flatmate,Rent,Receive
Received ₹9825.67 from TCS,Paycheck,Receive
Paid ₹6580.58 to Myntra,Shopping,Spend
Paid ₹4630.57 to TCS,Paycheck,Spend
Received ₹2633.98 from Amazon,Shopping,Receive
UPI payment of ₹4709.29 to TCS,Paycheck,Spend
₹1726.33 received via UPI from KFC,Restaurants,Receive
Received ₹1858.85 from Swiggy,Restaurants,Receive
Received ₹3364.01 from Infosys,Paycheck,Receive
UPI payment of ₹9651.93 to Landlord,Rent,Spend
Paid ₹7367.99 to Landlord,Rent,Spend
₹9313.26 received via UPI from Electric Board,Utilities,Receive
Paid ₹8007.47 to Society,Rent,Spend
UPI payment of ₹6790.42 to Wipro,Paycheck,Spend
Debited ₹7419.68 at Gas Agency,Utilities,Spend
Credited ₹7536.99 from Domino's,Restaurants,Receive
Received ₹4793.34 from Water Dept,Utilities,Receive
₹1778.55 received via UPI from Landlord,Rent,Receive
UPI payment of ₹4502.48 to Gas Agency,Utilities,Spend
UPI payment of ₹6644.02 to Swiggy,Restaurants,Spend
Debited ₹8387.4 at Society,Rent,Spend
Paid ₹3505.18 to Electric Board,Utilities,Spend
Debited ₹6342.1 at Electric Board,Utilities,Spend
UPI payment of ₹2751.82 to Swiggy,Restaurants,Spend
UPI payment of ₹8759.02 to Flatmate,Rent,Spend
Received ₹8713.58 from Electric Board,Utilities,Receive
Paid ₹1462.67 to Water Dept,Utilities,Spend
Paid ₹5482.32 to Myntra,Shopping,Spend
Credited ₹2806.69 from KFC,Restaurants,Receive
UPI payment of ₹2139.99 to Gas Agency,Utilities,Spend
Paid ₹1103.33 to Amazon,Shopping,Spend
Credited ₹9990.69 from Flatmate,Rent,Receive
Credited ₹7250.92 from Landlord,Rent,Receive
Received ₹5545.57 from Flatmate,Rent,Receive
₹1104.19 received via UPI from Flipkart,Shopping,Receive
Paid ₹3770.06 to Swiggy,Restaurants,Spend
Received ₹3396.82 from TCS,Paycheck,Receive
Received ₹5855.99 from Swiggy,Restaurants,Receive
Paid ₹5064.36 to KFC,Restaurants,Spend
Received ₹7999.45 from TCS,Paycheck,Receive
UPI payment of ₹7397.43 to Electric Board,Utilities,Spend
Debited ₹5215.35 at Amazon,Shopping,Spend
Received ₹8622.56 from Society,Rent,Receive
Credited ₹3909.55 from KFC,Restaurants,Receive
Credited ₹8228.67 from Domino's,Restaurants,Receive
Credited ₹2788.18 from Domino's,Restaurants,Receive
₹3414.59 received via UPI from Society,Rent,Receive
₹108.37 received via UPI from Landlord,Rent,Receive
₹5634.9 received via UPI from Myntra,Shopping,Receive
Credited ₹5835.36 from Swiggy,Restaurants,Receive
Credited ₹3287.66 from Amazon,Shopping,Receive
Credited ₹2778.39 from Electric Board,Utilities,Receive
UPI payment of ₹3669.16 to Gas Agency,Utilities,Spend
Debited ₹3716.88 at Gas Agency,Utilities,Spend
Received ₹7042.84 from Swiggy,Restaurants,Receive
Credited ₹826.87 from Landlord,Rent,Receive
Credited ₹1356.93 from Domino's,Restaurants,Receive
Received ₹9458.43 from Flatmate,Rent,Receive
Paid ₹9340.63 to Landlord,Rent,Spend
UPI payment of ₹4146.37 to Flatmate,Rent,Spend
UPI payment of ₹8228.46 to Amazon,Shopping,Spend
UPI payment of ₹5672.14 to Gas Agency,Utilities,Spend
₹5862.56 received via UPI from Electric Board,Utilities,Receive
Credited ₹7429.39 from Electric Board,Utilities,Receive
Received ₹3194.45 from Amazon,Shopping,Receive
Debited ₹7566.54 at Electric Board,Utilities,Spend
UPI payment of ₹6525.47 to Flipkart,Shopping,Spend
UPI payment of ₹7624.66 to Amazon,Shopping,Spend
₹288.83 received via UPI from TCS,Paycheck,Receive
₹1261.64 received via UPI from Swiggy,Restaurants,Receive
UPI payment of ₹8007.34 to Infosys,Paycheck,Spend
Debited ₹4113.76 at Flipkart,Shopping,Spend
Credited ₹2758.19 from Wipro,Paycheck,Receive
Credited ₹7012.04 from Electric Board,Utilities,Receive
Debited ₹3676.19 at Gas Agency,Utilities,Spend
₹7168.23 received via UPI from Landlord,Rent,Receive
₹4220.48 received via UPI from Landlord,Rent,Receive
Credited ₹7694.63 from Flatmate,Rent,Receive
₹2913.19 received via UPI from Wipro,Paycheck,Receive
Received ₹3662.37 from Flipkart,Shopping,Receive
₹9500.7 received via UPI from Wipro,Paycheck,Receive
₹3497.27 received via UPI from Myntra,Shopping,Receive
Paid ₹5245.83 to Amazon,Shopping,Spend
Credited ₹5949.73 from Myntra,Shopping,Receive
UPI payment of ₹621.16 to Society,Rent,Spend
Received ₹6412.01 from Swiggy,Restaurants,Receive
UPI payment of ₹4928.8 to Myntra,Shopping,Spend
₹532.39 received via UPI from TCS,Paycheck,Receive
Debited ₹5811.58 at Domino's,Restaurants,Spend
₹3837.81 received via UPI from Wipro,Paycheck,Receive
UPI payment of ₹1720.89 to Flipkart,Shopping,Spend
Received ₹1717.88 from KFC,Restaurants,Receive
